tiempo,ángulo
'0:0:10.01,155.86
'0:0:10.02,157.35
'0:0:10.03,157.35
'0:0:10.04,158.94
'0:0:10.05,159.73
'0:0:10.06,161.49
'0:0:10.07,163.24
'0:0:10.08,164.12
'0:0:10.09,165.97
'0:0:10.1,167.64
'0:0:10.11,168.52
'0:0:10.12,171.86
'0:0:10.13,172.65
'0:0:10.14,173.53
'0:0:10.15,175.11
'0:0:10.16,175.90
'0:0:10.17,176.61
'0:0:10.18,178.19
'0:0:10.19,179.77
'0:0:10.2,180.56
'0:0:10.21,182.14
'0:0:10.22,183.64
'0:0:10.23,184.34
'0:0:10.24,185.84
'0:0:10.25,187.15
'0:0:10.26,187.95
'0:0:10.27,189.09
'0:0:10.28,190.23
'0:0:10.29,190.85
'0:0:10.3,191.90
'0:0:10.31,192.78
'0:0:10.32,193.22
'0:0:10.33,194.10
'0:0:10.34,194.98
'0:0:10.35,195.33
'0:0:10.36,196.03
'0:0:10.37,196.65
'0:0:10.38,197.00
'0:0:10.39,197.44
'0:0:10.4,197.97
'0:0:10.41,198.14
'0:0:10.42,198.58
'0:0:10.43,198.76
'0:0:10.44,198.85
'0:0:10.45,198.93
'0:0:10.46,198.93
'0:0:10.47,198.93
'0:0:10.48,198.93
'0:0:10.49,198.93
'0:0:10.5,198.93
'0:0:10.51,198.85
'0:0:10.52,198.49
'0:0:10.53,198.32
'0:0:10.54,197.79
'0:0:10.55,197.26
'0:0:10.56,197.00
'0:0:10.57,196.30
'0:0:10.58,195.51
'0:0:10.59,195.15
'0:0:10.6,194.28
'0:0:10.61,193.31
'0:0:10.62,192.78
'0:0:10.63,191.64
'0:0:10.64,190.50
'0:0:10.65,189.88
'0:0:10.66,188.65
'0:0:10.67,187.51
'0:0:10.68,186.89
'0:0:10.69,185.66
'0:0:10.7,184.43
'0:0:10.71,183.73
'0:0:10.72,182.14
